Incident_Zip,average_time_per_month,Month
10167,0.0,12
10168,799.7796666666666,1
10168,332.6304861111112,2
10168,360.5561666666666,3
10168,1.0964444444444443,4
10168,0.1658333333333333,5
10168,0.3711111111111111,6
10168,0.1732407407407407,7
10168,0.0,8
10168,4.25111111111111,9
10168,0.0,10
10168,0.0,11
10168,0.0,12
10169,7.814783950617285,1
10169,2.4086805555555557,2
10169,17.746219512195122,3
10169,4.339888888888889,4
10169,8.437173202614378,5
10169,7.828985042735042,6
10169,25.35584422657952,7
10169,4.150428802588997,8
10169,4.600608747044918,9
10169,0.0,10
10169,0.0,11
10169,0.0,12
10170,85.35,1
10170,2.7672222222222222,2
10170,0.0,3
10170,0.1688888888888889,4
10170,0.0,5
10170,15.895833333333334,6
10170,78.24188271604937,7
10170,118.50037037037038,8
10170,0.1257638888888888,9
10170,0.0,10
10170,0.0,11
10170,0.0,12
10171,127.29777777777778,1
10171,0.0,2
10171,23.33333333333333,3
10171,0.0,4
10171,33.09097222222222,5
10171,0.0,6
10171,0.0,7
10171,0.0,8
10171,22.29694444444445,9
10171,0.0,10
10171,0.0,11
10171,0.0,12
10172,16.50138888888889,1
10172,56.634027777777774,2
10172,25.975925925925925,3
10172,0.0,4
10172,0.0,5
10172,0.0,6
10172,143.8711111111111,7
10172,0.0,8
10172,0.0,9
10172,0.0,10
10172,0.0,11
10172,0.0,12
10173,47.89472222222222,1
10173,0.0,2
10173,0.0,3
10173,0.44,4
10173,18.0,5
10173,0.0,6
10173,9.09,7
10173,0.6055555555555555,8
10173,8.531666666666666,9
10173,0.0,10
10173,0.0,11
10173,0.0,12
10174,0.0,1
10174,0.0,2
10174,411.5179166666667,3
10174,4.883611111111111,4
10174,0.0994444444444444,5
10174,0.0,6
10174,0.0,7
10174,0.0,8
10174,83.24277777777777,9
10174,0.0,10
10174,0.0,11
10174,0.0,12
10175,0.0,1
10175,0.0,2
10175,0.0,3
10175,0.0,4
10175,0.0,5
10175,0.0,6
10175,2.0052777777777777,7
10175,0.0,8
10175,0.0,9
10175,0.0,10
10175,0.0,11
10175,0.0,12
10176,0.0,1
10176,196.56666666666663,2
10176,91.41064814814814,3
10176,0.0,4
10176,0.0,5
10176,0.0,6
10176,0.0,7
10176,0.0,8
10176,0.0,9
10176,0.0,10
10176,0.0,11
10176,0.0,12
10177,654.2323611111111,1
10177,0.0,2
10177,52.86305555555556,3
10177,0.0,4
10177,0.555,5
10177,0.1472222222222222,6
10177,21.18027777777778,7
10177,0.0,8
10177,4.6075,9
10177,0.0,10
10177,0.0,11
10177,0.0,12
10178,108.91324074074072,1
10178,0.0,2
10178,2243.280555555556,3
10178,0.0,4
10178,0.0,5
10178,4.500601851851852,6
10178,0.2129166666666666,7
10178,37.27694444444444,8
10178,0.2927777777777778,9
10178,0.0,10
10178,0.0,11
10178,0.0,12
10179,0.0,1
10179,698.220324074074,2
10179,0.0,3
10179,0.0,4
10179,0.0,5
10179,0.3869444444444444,6
10179,0.0,7
10179,0.0,8
10179,0.0,9
10179,0.0,10
10179,0.0,11
10179,0.0,12
10271,1996.129305555556,1
10271,0.4211111111111111,2
10271,751.6545833333333,3
10271,0.0,4
10271,0.0,5
10271,4.426527777777778,6
10271,3.305555555555556,7
10271,0.0,8
10271,0.0,9
10271,0.0,10
10271,0.0,11
10271,0.0,12
10278,307.92284722222223,1
10278,4.19212962962963,2
10278,15.392777777777775,3
10278,14.615324074074076,4
10278,84.51513888888888,5
10278,52.6405,6
10278,4.764166666666666,7
10278,12.851064814814814,8
10278,5.85,9
10278,0.0,10
10278,0.0,11
10278,0.0,12
10279,23.529884259259266,1
10279,195.4775,2
10279,0.0,3
10279,0.21375,4
10279,0.32375,5
10279,0.1719444444444444,6
10279,7.58638888888889,7
10279,34.234722222222224,8
10279,205.4613888888889,9
10279,0.0,10
10279,0.0,11
10279,0.0,12
10280,177.6625664251208,1
10280,76.00866898148148,2
10280,197.94969246031744,3
10280,18.258183183183185,4
10280,2.054623015873016,5
10280,49.91980555555556,6
10280,39.8675406504065,7
10280,37.78997777777778,8
10280,17.883849206349208,9
10280,0.0,10
10280,0.0,11
10280,0.0,12
10281,328.97020833333335,1
10281,449.1543981481482,2
10281,646.3384722222222,3
10281,533.8083333333334,4
10281,20.830092592592592,5
10281,151.17916666666667,6
10281,52.13625,7
10281,43.48436507936509,8
10281,0.5485416666666667,9
10281,0.0,10
10281,0.0,11
10281,0.0,12
10282,37.062092013888886,1
10282,138.86186274509805,2
10282,84.44439814814815,3
10282,46.50503472222223,4
10282,9.087509107468124,5
10282,79.86848765432099,6
10282,56.8278425925926,7
10282,235.49814814814812,8
10282,32.14944444444444,9
10282,0.0,10
10282,0.0,11
10282,0.0,12
10301,124.53797357132972,1
10301,130.7652217553688,2
10301,175.9625807748538,3
10301,83.5362986421593,4
10301,79.85412269045811,5
10301,102.61134054217386,6
10301,124.65111473880596,7
10301,75.90838996289787,8
10301,32.40695560969008,9
10301,0.0,10
10301,0.0,11
10301,0.0,12
10302,183.11683274021357,1
10302,162.26113267770876,2
10302,356.0144276989756,3
10302,107.4400293998378,4
10302,180.2213002873563,5
10302,86.65003642987249,6
10302,147.83012359011278,7
10302,86.17733475479744,8
10302,23.25394845894846,9
10302,0.0,10
10302,0.0,11
10302,0.0,12
10303,120.12356097961867,1
10303,124.89433436761227,2
10303,172.86533242258653,3
10303,140.34518696581196,4
10303,95.241614755909,5
10303,95.60340905409782,6
10303,135.9889240659874,7
10303,62.621443236714974,8
10303,23.96710495455878,9
10303,0.0,10
10303,0.0,11
10303,0.0,12
10304,126.28501464128844,1
10304,136.8347399150743,2
10304,242.7723891581404,3
10304,205.24269893483708,4
10304,134.4059195887903,5
10304,104.39885302125876,6
10304,131.06717923558546,7
10304,103.3756736233588,8
10304,33.40622321701867,9
10304,0.0,10
10304,0.0,11
10304,0.0,12
10305,107.7617093639576,1
10305,86.37291347715147,2
10305,114.56556237599206,3
10305,122.9272592089372,4
10305,122.5368002225932,5
10305,118.35377631578947,6
10305,121.6794093634392,7
10305,106.14529812779811,8
10305,24.54534901433692,9
10305,0.0,10
10305,0.0,11
10305,0.0,12
10306,103.84597975583372,1
10306,109.8283552987294,2
10306,137.76146970380395,3
10306,74.10366656937148,4
10306,104.73465546942292,5
10306,145.4306855396066,6
10306,128.00690303657694,7
10306,114.93152133502323,8
10306,35.882375,9
10306,0.0,10
10306,0.0,11
10306,0.0,12
10307,157.92224666666667,1
10307,138.11995652173914,2
10307,127.67976273148147,3
10307,89.84339611872146,4
10307,55.55470469255663,5
10307,81.80068945442449,6
10307,78.22163407407407,7
10307,115.03682315064393,8
10307,36.72106635802469,9
10307,0.0,10
10307,0.0,11
10307,0.0,12
10308,120.51071910695742,1
10308,102.1822823509485,2
10308,145.30410263653482,3
10308,57.0227380952381,4
10308,98.59164935473716,5
10308,68.87277342995169,6
10308,132.3955995547074,7
10308,118.91042250233428,8
10308,37.94986633811231,9
10308,0.0,10
10308,0.0,11
10308,0.0,12
10309,121.88338762386677,1
10309,132.42906167506598,2
10309,170.47900745257454,3
10309,88.175987131199,4
10309,104.03192600044711,5
10309,155.68951859535886,6
10309,116.26190952151572,7
10309,126.11226996527778,8
10309,38.25772463768116,9
10309,0.0,10
10309,0.0,11
10309,0.0,12
10310,108.77370065120066,1
10310,97.58751873385012,2
10310,170.23200452360757,3
10310,187.688268018018,4
10310,61.21383524904215,5
10310,86.74064956079519,6
10310,100.17886384650949,7
10310,82.41727207977208,8
10310,31.2380056745378,9
10310,0.0,10
10310,0.0,11
10310,0.0,12
10312,108.50485553004212,1
10312,139.82380816086894,2
10312,186.80283292483665,3
10312,83.10246752738655,4
10312,102.71525925925926,5
10312,128.6899630047655,6
10312,108.87255749405234,7
10312,132.52740484700277,8
10312,43.58061075875029,9
10312,0.0,10
10312,0.0,11
